measure,is_rate,definition,chart_all,chart_age,chart_race_and_ethnicity,chart_residency,chart_sex,description_all,description_age,description_race_and_ethnicity,description_residency,description_sex,key_terms_all,key_terms_age,key_terms_race_and_ethnicity,key_terms_residency,key_terms_sex,,,,,,,,,
30-Day All-Cause Readmissions,1,"A count of hospital readmissions that happened within 30 days of a hospital stay, were unplanned, and could have been for any reason.",The number of 30-day all-cause readmissions was much higher for Medicaid members with IDD.,Members aged 18-29 and 30-39 with IDD were at a greater risk.,White Medicaid members with IDD had a higher number of 30-day all-cause hospital readmission.,Medicaid members with IDD residing in an urban area had a higher number of readmissions.,Female Medicaid members with IDD were readmitted at more than 3x the rate those without IDD.,<p>The number of 30-day all-cause readmissions was much higher for Medicaid members with IDD compared to Medicaid members without IDD.</p>,<p>Medicaid members aged 18-29 and 30-39 with IDD were at a greater risk than those without IDD.</p> <p>There were no statistically significant differences for other age groups.</p>,<p>White Medicaid members with IDD had a higher number of 30-day all-cause hospital readmission compared to those without IDD.</p> <p>There was not enough data to analyze differences based on other races or ethnicities.</p>,<p>Medicaid members with IDD in urban areas had a higher number of readmissions compared to those without IDD.</p> <p>There were no statistically significant differences for rural Medicaid members.</p>,<p>Female members with IDD were readmitted at more than 3x the rate of those without IDD.</p> <p>There were no statistically significant differences for male Medicaid members.</p>,,,,,,,,,,,,,,
30-Day All-Cause Readmissions After Hospitalization for Mental Illness,1,"A count of hospital readmissions that happened within 30 days of a hospital stay due to mental illness, were unplanned, and could have been for any reason.",There were no statistically significant differences.,There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences.,There were no statistically significant differences.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,<p>There were no statistically significant differences by age.</p>,<p>There were no statistically significant differences for white Medicaid members.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,<p>There were no statistically significant differences by residency (urban or rural).</p>,<p>There were no statistically significant differences by sex.</p>,,,,,,,,,,,,,,
Access to Any Dental Care,0,Number of people who had any dental care.,A higher percentage of Medicaid members with IDD received any dental care.,The percentage of Medicaid members with IDD that received any dental care was higher among all age groups.,The percentage of Medicaid members with IDD that received any dental care was higher among all race and ethnicity groups.,The percentage of Medicaid members with IDD that received any dental care was higher among all residency groups.,The percentage of Medicaid members with IDD that received any dental care was higher among all sexes.,"<p>A higher percentage of Medicaid members with IDD received any dental care compared to Medicaid members without IDD. </p>
<p>Additional explanation: The analysis did not examine which type of services people received. Further research could look at possible disparities in access to specific types of dental services and if Medicaid members with IDD face challenges for those services. </p>",<p>The percentage of Medicaid members with IDD that received any dental care was higher among all age groups compared to those without IDD.</p>,<p>The percentage of Medicaid members with IDD that received any dental care was higher among all race and ethnicity groups compared to those without IDD.</p>,<p>The percentage of Medicaid members with IDD that received any dental care was higher among all residency groups (urban and rural) compared to those without IDD.</p>,<p>The percentage of Medicaid members with IDD that received any dental care was higher among all sexes compared to those without IDD.</p>,,,,,,,,,,,,,,
Access to Preventive Dental Services,0,"Number of people who had any preventive dental care treatments such as check-ups, cleanings, or x-rays.",A higher percentage of Medicaid members with IDD received preventative dental care.,The percentage of Medicaid members with IDD that received preventative dental care was higher among all age groups.,The percentage of Medicaid members with IDD that received preventative dental care was higher among all race and ethnicity groups.,The percentage of Medicaid members with IDD that received preventative dental care was higher among all residency groups.,The percentage of Medicaid members with IDD that received preventative dental care was higher among all sexes.,"<p>A higher percentage of Medicaid members with IDD received preventive dental care compared to Medicaid members without IDD. </p>
<p>Additional explanation: The analysis did not examine which services people received. Further research could look at possible disparities in access to specific dental services and if Medicaid members with IDD face challenges for those services. </p>",<p>The percentage of Medicaid members with IDD that received preventative dental care was higher among all age groups compared to those without IDD.</p>,<p>The percentage of Medicaid members with IDD that received preventative dental care was higher among all race and ethnicity groups compared to those without IDD.</p>,<p>The percentage of Medicaid members with IDD that received preventative dental care was higher among all residency groups (urban and rural) compared to those without IDD.</p>,<p>The percentage of Medicaid members with IDD that received preventive dental care was higher among all sexes compared to those without IDD.</p>,,,,,,,,,,,,,,
Antidepressant Medication Management - Acute Phase Treatment,0,"Number of people with major depression, who were prescribed antidepressants, that kept taking the medication for at least 12 weeks.",There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences or not enough data for some groups.,Medicaid members with IDD in urban areas were more likely to continue antidepressant medication for at least 12 weeks.,There were no statistically significant differences.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,<p>There were no statistically significant differences for the 18-29 and 30-39 age groups.</p> <p>There was not enough data to analyze differences for the 40-49 and 50-64 age groups.</p>,<p>There were no statistically significant differences for white Medicaid members.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,"<p>Among Medicaid members with a diagnosis of major depression, those with IDD were more likely to continue antidepressant medication for at least 12 weeks in urban areas.</p> <p>There was not enough data to analyze differences for rural Medicaid members.</p>",<p>There were no statistically significant differences by sex.</p>,<li>Acute means the early stage of a condition.</li>,<li>Acute means the early stage of a condition.</li>,<li>Acute means the early stage of a condition.</li>,<li>Acute means the early stage of a condition.</li>,<li>Acute means the early stage of a condition.</li>,,,,,,,,,
Antidepressant Medication Management - Continuous Phase Treatment,0,"Number of people with major depression, who were prescribed antidepressants, that kept taking the medication for at least 6 months.",There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences or not enough data for some groups.,Medicaid members with IDD in urban areas were more likely to continue antidepressant medication for at least 6 months.,There were no statistically significant differences.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,<p>There were no statistically significant differences for the 18-29 and 30-39 age groups.</p> <p>There was not enough data to analyze differences for the 40-49 and 50-64 age groups.</p>,<p>There were no statistically significant differences for white Medicaid members.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,"<p>Among Medicaid members with a diagnosis of major depression, those with IDD were more likely to continue antidepressant medication for at least 6 months in urban areas.</p> <p>There was not enough data to analyze differences for rural Medicaid members.</p>",<p>There were no statistically significant differences by sex.</p>,<li>Continuous means longer-term and ongoing.</li>,<li>Continuous means longer-term and ongoing.</li>,<li>Continuous means longer-term and ongoing.</li>,<li>Continuous means longer-term and ongoing.</li>,<li>Continuous means longer-term and ongoing.</li>,,,,,,,,,
Avoidance of Non-Recommended Cervical Cancer Screenings,0,"Number of women, ages 16-20 years, who did not get screened for cervical cancer. This screening is not medically recommended for this age group.",There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,"<p>There were no statistically significant differences for the 18-29 age groups.</p> <p>There was not enough data to analyze differences for the 30-39, 40-49, and 50-64 age groups.</p>",<p>There were no statistically significant differences for white Medicaid members.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,<p>There were no statistically significant differences for urban Medicaid members.</p> <p>There was not enough data to analyze differences for rural Medicaid members.</p>,<p>There were no statistically significant differences for female Medicaid members.</p>,,,,,,,,,,,,,,
Breast Cancer Screening,0,Number of women who had a mammogram in the last 27 months.,There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,"<p>There was not enough data to analyze differences for the 18-29, 30-39, and 40-49 age groups.</p> <p>There were no statistically significant differences for the 50-64 age group.</p>",<p>There were no statistically significant differences for white Medicaid members.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,<p>There were no statistically significant differences for urban Medicaid members.</p> <p>There was not enough data to analyze differences for rural Medicaid members.</p>,<p>There were no statistically significant differences for female Medicaid members.</p>,,,,,,,,,,,,,,
Cervical Cancer Screening-incidence,0,"Number of women, ages 21-64 years, who had a pap smear or pap test during the current measurement year.",Medicaid members with IDD had a significantly lower cervical cancer screening rate.,Medicaid members with IDD ages 18-29 and 30-39 were less likely to receive cervical cancer screening.,White Medicaid members with IDD were less likely to receive cervical cancer screening.,Urban Medicaid members with IDD were less likely to receive cervical cancer screening.,Female Medicaid members with IDD were less likely to receive cervical cancer screening.,<p>Medicaid members with IDD had a significantly lower cervical cancer screening rate compared to those without IDD.</p>,<p>Medicaid members with IDD ages 18-29 and 30-39 were less likely to receive cervical cancer screening compared to those without IDD.</p> <p>There were no statistically significant differences for the 40-49 and 50-64 age groups.</p>,<p>White Medicaid members with IDD were less likely to receive cervical cancer screening compared to those without IDD.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,<p>Medicaid members with IDD in urban areas were less likely to receive cervical cancer screening compared to those without IDD.</p> </p>There were no statistically significant differences for rural Medicaid Members.</p>,<p>Female Medicaid members with IDD were less likely to receive cervical cancer screening compared to those without IDD.</p>,,,,,,,,,,,,,,
Clinical Depression Screening,0,Number of people who had a clinical depression screening at an outpatient visit during the measurement year.,There were no statistically significant differences.,There were no statistically significant differences.,There were no statistically significant differences.,Medicaid members with IDD in urban areas were more likely to undergo screening for clinical depression.,There were no statistically significant differences.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,<p>There were no statistically significant differences by age.</p>,<p>There were no statistically significant differences by race and ethnicity.</p>,<p>Medicaid members with IDD in urban areas were more likely than those without IDD to undergo screening for clinical depression.</p> <p>There were no statistically significant differences for rural Medicaid members.</p>,<p>There were no statistically significant differences by sex.</p>,<li>Outpatient means not while admitted to the hospital.</li>,<li>Outpatient means not while admitted to the hospital.</li>,<li>Outpatient means not while admitted to the hospital.</li>,<li>Outpatient means not while admitted to the hospital.</li>,<li>Outpatient means not while admitted to the hospital.</li>,,,,,,,,,
Diabetes Management (HbA1c),0,Number of people with a diagnosis of Type I or Type II diabetes who had at least one HbA1c test.,There were no statistically significant differences.,There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences.,There were no statistically significant differences.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,<p>There were no statistically significant differences by age.</p>,<p>There were no statistically significant differences for white Medicaid members.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,<p>There were no statistically significant differences by residency (urban or rural).</p>,<p>There were no statistically significant differences by sex.</p>,,,,,,,,,,,,,,
Emergency Department Utilization,1,A count of emergency department visits.,Medicaid members with IDD had a higher number of all-cause Emergency Department visits.,Medicaid members with IDD across all age groups had a higher number of all-cause Emergency Department visits.,Medicaid members with IDD across all race and ethnicity groups had a higher number of all-cause Emergency Department visits.,Medicaid members with IDD across all residency groups had a higher number of all-cause Emergency Department visits.,Medicaid members with IDD across all sexes had a higher number of all-cause Emergency Department visits.,<p>Medicaid members with IDD had a higher number of all-cause Emergency Department visits compared to those without IDD.</p>,<p>Medicaid members with IDD across all age groups had a higher number of all-cause Emergency Department visits compared to those without IDD.</p>,<p>Medicaid members with IDD across all race and ethnicity groups had a higher number of all-cause Emergency Department visits compared to those without IDD.</p>,<p>Medicaid members with IDD across all residency groups had a higher number of all-cause Emergency Department visits compared to those without IDD (urban and rural).</p>,<p>Medicaid members with IDD across all sexes had a higher number of all-cause Emergency Department visits compared to those without IDD.</p>,,,,,,,,,,,,,,
Emergency Department Visits for Suicidal Ideation,1,A count of emergency department visits for suicidal ideation.,There were no statistically significant differences.,There were no statistically significant differences.,White Medicaid members with IDD had a higher number of Emergency Department visits for suicidal ideation.,There were no statistically significant differences.,Female Medicaid members with IDD had a higher number of Emergency Department visits for suicidal ideation.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,<p>There were no statistically significant differences by age.</p>,<p>White Medicaid members with IDD had a higher number of Emergency Department visits for suicidal ideation compared to those without IDD.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,<p>There were no statistically significant differences by residency (urban or rural).</p>,<p>Female Medicaid members with IDD had a higher number of Emergency Department visits for suicidal ideation compared to those without IDD.</p> <p>There were no statistically significant differences for men.</p>,<li>Suicidal ideation is having thoughts or ideas centered around death or suicide.</li>,<li>Suicidal ideation is having thoughts or ideas centered around death or suicide.</li>,<li>Suicidal ideation is having thoughts or ideas centered around death or suicide.</li>,<li>Suicidal ideation is having thoughts or ideas centered around death or suicide.</li>,<li>Suicidal ideation is having thoughts or ideas centered around death or suicide.</li>,,,,,,,,,
Engagement of Substance Use Disorder Treatment,0,Number of people with a diagnosis of substance use disorder who participated in alcohol or other drug dependence treatment.,There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences.,Male Medicaid members with IDD were less likely to engage in substance use disorder treatment.,<p>There were no statistically significant differences for Medicaid members with IDD compared to those without IDD.</p>,<p>There were no statistically significant differences for ages 18-29 and 30-39.<p> </p>There was not enough data for the age groups 40-49 and 50-64.</p>,<p>There were no statistically significant differences for white Medicaid members.</p> <p>There was not enough data to analyze differences based on other races and ethnicities.</p>,<p>There were no statistically significant differences by residency (urban or rural).</p>,<p>Male Medicaid members with IDD were less likely to engage in substance use disorder treatment than those without IDD.</p> <p>There were no statistically significant differences for women.</p>,"<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful.</li>
<li>Engagement means starting and staying in ongoing treatment within 34 days of the initial visit.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful.</li>
<li>Engagement means starting and staying in ongoing treatment within 34 days of the initial visit.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful.</li>
<li>Engagement means starting and staying in ongoing treatment within 34 days of the initial visit.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful.</li>
<li>Engagement means starting and staying in ongoing treatment within 34 days of the initial visit.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful.</li>
<li>Engagement means starting and staying in ongoing treatment within 34 days of the initial visit.</li>",,,,,,,,,
Initiation of Substance Use Disorder Treatment,0,"Number of people with a diagnosis of substance use disorder who started treatment for alcohol or other drug dependence within 14 days of getting the diagnosis. This could happen during an inpatient hospital admission, outpatient visit, intensive outpatient encounter, or partial hospitalization.",There were no statistically significant differences.,There were no statistically significant differences or not enough data for some groups.,There were no statistically significant differences.,There were no statistically significant differences.,Female Medicaid members with IDD were more likely to initiate Substance Use Disorder treatment.,<p>There were no statistically significant differences for Medicaid members with IDD compared to Medicaid members without IDD.</p>,<p>There were no statistically significant differences for ages 18-29 and 30-39.<p> </p>There was not enough data for the age groups 40-49 and 50-64.</p>,<p>There were no statistically significant differences by race and ethnicity.</p>,<p>There were no statistically significant differences by residency (urban or rural).</p>,<p>Female Medicaid members with IDD were more likely to initiate Substance Use Disorder treatment compared to those without IDD.<p> </p>There were no statistically significant differences for men.</p>,"<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful. </li>
<li>Initiation means starting treatment within 14 days of getting the diagnosis. </li>
<li>Inpatient hospital admission means being admitted to the hospital as a patient. </li>
<li>Outpatient visit is having medical visit without being admitted to a hospital. </li>
<li>Intensive outpatient encounter happens while someone is part of a structured treatment program that provides more support than is typical with outpatient care. </li>
<li>Partial hospitalization is when people spend the day in a hospital treatment program but go home every night.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful. </li>
<li>Initiation means starting treatment within 14 days of getting the diagnosis. </li>
<li>Inpatient hospital admission means being admitted to the hospital as a patient. </li>
<li>Outpatient visit is having medical visit without being admitted to a hospital. </li>
<li>Intensive outpatient encounter happens while someone is part of a structured treatment program that provides more support than is typical with outpatient care. </li>
<li>Partial hospitalization is when people spend the day in a hospital treatment program but go home every night.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful. </li>
<li>Initiation means starting treatment within 14 days of getting the diagnosis. </li>
<li>Inpatient hospital admission means being admitted to the hospital as a patient. </li>
<li>Outpatient visit is having medical visit without being admitted to a hospital. </li>
<li>Intensive outpatient encounter happens while someone is part of a structured treatment program that provides more support than is typical with outpatient care. </li>
<li>Partial hospitalization is when people spend the day in a hospital treatment program but go home every night.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful. </li>
<li>Initiation means starting treatment within 14 days of getting the diagnosis. </li>
<li>Inpatient hospital admission means being admitted to the hospital as a patient. </li>
<li>Outpatient visit is having medical visit without being admitted to a hospital. </li>
<li>Intensive outpatient encounter happens while someone is part of a structured treatment program that provides more support than is typical with outpatient care. </li>
<li>Partial hospitalization is when people spend the day in a hospital treatment program but go home every night.</li>","<li>Substance use disorder is having a serious problem with drugs or alcohol, and it&#39;s hard to stop even when it&#39;s harmful. </li>
<li>Initiation means starting treatment within 14 days of getting the diagnosis. </li>
<li>Inpatient hospital admission means being admitted to the hospital as a patient. </li>
<li>Outpatient visit is having medical visit without being admitted to a hospital. </li>
<li>Intensive outpatient encounter happens while someone is part of a structured treatment program that provides more support than is typical with outpatient care. </li>
<li>Partial hospitalization is when people spend the day in a hospital treatment program but go home every night.</li>",,,,,,,,,
Nonfatal Suicide Attempts and Self-Harm,0,"Number of people diagnosed with acute nonfatal suicide attempt and self-harm. This means that a trained professional identified that the person was at risk of self-harm because of suicidal thoughts, a specific plan, or attempt at completing suicide.",Medicaid members with IDD had a much higher number of nonfatal suicide attempts and self-harm,Medicaid members with IDD ages 18-29 were more likely to experience a nonfatal suicide attempt.,Black Medicaid members with IDD had the highest number of non-fatal suicide attempts and self-harm.,Medicaid members with IDD across all residency groups were more likely to experience a nonfatal suicide attempt and self-harm.,Female Medicaid members with IDD had a higher number of nonfatal suicide attempts.,<p>Medicaid members with IDD had a much higher number of nonfatal suicide attempts and self-harm compared to those without IDD.</p>,<p>Medicaid members with IDD ages 18-29 were more likely to experience a nonfatal suicide attempt than those without IDD.</p> <p>There were no statistically significant differences for all other age groups.</p>,<p>White Medicaid members with IDD were more likely to experience a nonfatal suicide attempt compared to those without IDD.</p> <p>Black Medicaid members with IDD had the highest number of non-fatal suicide attempts and self-harm of all groups.</p> <p>There were no statistically significant differences for all other races.</p>,<p>Medicaid members with IDD across all residency groups were more likely to experience a nonfatal suicide attempt and self-harm compared to those without IDD (urban and rural).</p>,<p>Female Medicaid members with IDD had a higher number of nonfatal suicide attempts compared to those without IDD.</p> <p>There were no statistically significant differences for men.</p>,,,,,,,,,,,,,,
